date,series_1,series_2,series_3,scenario
2024-01-01,49.53804911329967,45.47516876392182,59.34154789162987,A
2024-01-02,55.75476119242437,42.27560451486489,54.14058562518609,A
2024-01-03,46.972256540976744,43.79712231823909,60.970997183053186,A
2024-01-04,52.93288987528403,53.40395459090122,59.92755065744513,A
2024-01-05,57.829692891868326,46.23500948741071,75.41283346292734,A
2024-01-06,71.15159953309478,42.02698891452391,79.54168380860384,A
2024-01-07,69.46854043217434,41.18526369198371,68.76425314759913,A
2024-01-08,63.546477673024036,52.06309672071733,76.56143317371112,A
2024-01-09,70.48460309703552,46.56980302199551,82.3675777687808,A
2024-01-10,69.77526825129536,60.23988884046349,75.50235332225836,A
2024-01-11,65.62585246310599,58.61397138860975,90.62237719164688,A
2024-01-12,68.77628621982556,56.158040276012244,81.47230195327585,A
2024-01-13,69.73102157438608,55.42266509291369,81.65538534169015,A
2024-01-14,76.63954000982555,61.15603078546854,87.42237987410536,B
2024-01-15,79.95763343977318,67.47689607323932,92.76750394018435,B
2024-01-16,72.30338476374055,71.0032278198476,92.34295479634294,B
2024-01-17,88.65074222253473,58.30741782593472,107.23599220654465,B
2024-01-18,85.6022666921085,81.64411846061857,102.51133448594715,B
2024-01-19,86.68121034793546,65.48371165167305,96.43363029023729,B
2024-01-20,87.9422954881193,63.3912898893512,109.55974246489767,B
2024-01-21,99.61154918416696,84.19876887281089,101.3943803651664,B
2024-01-22,92.80608491801243,83.51425074481031,121.68463496384744,B
2024-01-23,94.92471847973843,83.22102692998534,107.78769165447314,B
2024-01-24,101.50616772871999,73.60447977019976,114.82693414294035,B
2024-01-25,99.99646374577405,87.4852420765654,121.14916324399817,B
